year,state,state_ID,gender,first,second,third,forth,fifth,sixth,seventh,eighth,nineth,tenth,1st_count,2nd_count,3rd_count,4th_count,5th_count,6th_count,7th_count,8th_count,9th_count,10th_count
1970,NY,37,F,Jennifer,Lisa,Michelle,Christine,Kimberly,Karen,Elizabeth,Dawn,Amy,Melissa,4203,3488,2504,2124,2040,1751,1720,1623,1596,1567
1970,MA,38,F,Jennifer,Lisa,Michelle,Kimberly,Christine,Karen,Amy,Susan,Melissa,Julie,1645,1358,1059,995,912,761,722,658,638,559
1970,CT,39,F,Jennifer,Lisa,Kimberly,Michelle,Christine,Amy,Dawn,Elizabeth,Melissa,Susan,826,577,506,453,354,347,317,313,304,304
1970,RI,40,F,Jennifer,Lisa,Kimberly,Michelle,Melissa,Dawn,Christine,Karen,Susan,Lori,248,241,182,181,174,167,144,134,107,101
1970,PA,41,F,Jennifer,Lisa,Kimberly,Michelle,Amy,Melissa,Christine,Heather,Tracy,Karen,2961,2280,1885,1810,1655,1499,1417,1113,1108,1097
1970,NJ,42,F,Jennifer,Lisa,Kimberly,Dawn,Christine,Michelle,Karen,Michele,Susan,Kelly,1766,1316,1018,865,856,822,706,683,627,567
1970,DE,43,F,Jennifer,Michelle,Kimberly,Lisa,Dawn,Christine,Laura,Patricia,Tracy,Kelly,134,126,117,108,100,61,61,61,61,60
1970,MD,44,F,Kimberly,Jennifer,Lisa,Michelle,Melissa,Karen,Mary,Dawn,Tammy,Amy,743,724,724,499,422,393,371,361,348,347
1970,WV,45,F,Melissa,Lisa,Kimberly,Angela,Tammy,Amy,Jennifer,Michelle,Mary,Tina,432,417,371,346,329,258,257,251,224,197
1970,VA,46,F,Kimberly,Jennifer,Lisa,Angela,Michelle,Melissa,Tammy,Amy,Mary,Karen,953,944,898,769,696,652,634,583,537,488
1970,NC,47,F,Angela,Kimberly,Lisa,Tammy,Jennifer,Amy,Melissa,Mary,Michelle,Tracy,1339,1118,1098,931,827,690,681,647,618,572
1970,SC,48,F,Angela,Lisa,Kimberly,Tammy,Melissa,Mary,Jennifer,Pamela,Michelle,Tracy,561,477,476,401,371,364,354,321,291,291
1970,GA,49,F,Kimberly,Angela,Jennifer,Lisa,Tammy,Melissa,Mary,Stephanie,Tracy,Pamela,1052,964,870,850,804,612,608,588,574,564
1970,DC,50,F,Jennifer,Kimberly,Michelle,Lisa,Angela,Karen,Elizabeth,Nicole,Stephanie,Amy,302,286,240,235,194,152,138,137,124,116
